name,entity_type,city,state,zip,naics_code,lca_filing_count,in_target_band,size_confidence,review_status
VIVERE SYSTEMS LLC,LLC,Frisco,TX,75035,541511,1,true,low,auto
VOLCONE WEB SOLUTIONS LLC,LLC,GEORGETOWN,TX,78628,541511,1,true,low,auto
VSSIQ Solutions LLC,LLC,Leander,TX,78641,541511,1,true,low,auto
Verdict IT Technologies LLC,LLC,IRVING,TX,75063,541511,1,true,low,auto
Verittsoft LLC,LLC,Frisco,TX,75035,541511,1,true,low,auto
"Verity Services, LLC",LLC,The Woodlands,TX,77380,5415,1,true,low,auto
Virtue Serve LLC,LLC,Irving,TX,75063,541511,1,true,low,auto
"Visual BI Solutions, LLC",LLC,Plano,TX,75093,541511,1,true,low,auto
"Voltaire Health, LLC.",LLC,Plano,TX,75024,541511,1,true,low,auto
"Volusion, LLC",LLC,Austin,TX,78758,511210,1,true,low,auto
WELKIN TECHNOLOGIES LLC,LLC,Alpharetta,TX,30005,541511,1,true,low,auto
WIZIENT LLC,LLC,CYPRESS,TX,77429,541511,1,true,low,auto
"WatchmeSports, LLC",LLC,Fort Worth,TX,76116,516210,1,true,low,auto
Wave Telecom LLC,LLC,Frisco,TX,75034,541511,1,true,low,auto
Wellsite Navigator LLC,LLC,Houston,TX,77002,511210,1,true,low,auto
Willow Technologies LLC,LLC,Dallas,TX,75209,54151,1,true,low,auto
"WiredHive, LLC",LLC,McKinney,TX,75072,541511,1,true,low,auto
Worldtech IT LLC,LLC,Austin,TX,78702,541512,1,true,low,auto
ZERO DAY GROUP LLC,LLC,BELLAIRE,TX,77401,54151,1,true,low,auto
ZOWTA LLC,LLC,Austin,TX,78759,513210,1,true,low,auto
Zeva Technology LLC,LLC,Plano,TX,75093,541512,1,true,low,auto
Zinc LLC,LLC,Sugar Land,TX,77478,54151,1,true,low,auto
Zionzest LLC,LLC,Lewisville,TX,75056,541512,1,true,low,auto
"Ziosk Payroll, LLC",LLC,Dallas,TX,75251,541519,1,true,low,auto
"aMind Solutions, LLC d.b.a. ArganoaMind",LLC,Plano,TX,75093,541511,1,true,low,auto
"defi Solutions DE, LLC",LLC,Westlake,TX,76262,541511,1,true,low,auto
iRely LLC,LLC,Irving,TX,75039,54151,1,true,low,auto
iSphere Innovation Partners LLC,LLC,Houston,TX,77060,5415,1,true,low,auto
"8am, LLC",LLC,Austin,TX,78746,541511,2,true,low,auto
AAKHIRAH INVESTMENTS LLC,LLC,Irving,TX,75038,518210,2,true,low,auto
AHACLOUDS LLC,LLC,Coppell,TX,75019,541512,2,true,low,auto
"ASTOUNDZ, LLC.",LLC,HOUSTON,TX,77092,541511,2,true,low,auto
ASYNC7 LLC,LLC,HOUSTON,TX,77092,541511,2,true,low,auto
ATRIXSOFT LLC,LLC,SHERIDAN,TX,82801,541511,2,true,low,auto
AUSIND Solutions LLC,LLC,Plano,TX,75024,541511,2,true,low,auto
Aayog Solutions LLC,LLC,Round Rock,TX,78681,541511,2,true,low,auto
"Adaptive Vision & Robotics, LLC",LLC,McKinney,TX,75069,541512,2,true,low,auto
"AiQueous, LLC",LLC,Austin,TX,78757,541511,2,true,low,auto
"Appweb, LLC",LLC,Georgetown,TX,78633,54151,2,true,low,auto
Arks Intellitech LLC,LLC,Lewisville,TX,75056,541511,2,true,low,auto
Arora Innovation LLC,LLC,Dallas,TX,75201,541512,2,true,low,auto
"Auctane, LLC, dba ShipStation",LLC,Austin,TX,78731,518210,2,true,low,auto
"Axcelinno, LLC",LLC,Frisco,TX,75034,541512,2,true,low,auto
BEYOND SCRIPTS LLC,LLC,MCKINNEY,TX,75070,541511,2,true,low,auto
BINARYWAY LLC.,LLC,KATY,TX,77449,541511,2,true,low,auto
BLOCKnit LLC,LLC,Frisco,TX,75035,541511,2,true,low,auto
BLUEGREEN TECHSOLUTIONS LLC.,LLC,FRISCO,TX,75034,541511,2,true,low,auto
Banjaxed Solutions LLC,LLC,College Station,TX,77845,541511,2,true,low,auto
"Baxter Planning Systems Opco, LLC",LLC,Austin,TX,78731,541519,2,true,low,auto
"Bellwether Electronics, LLC",LLC,Austin,TX,78731,541519,2,true,low,auto
Bloomgen LLC,LLC,McKinney,TX,75070,541511,2,true,low,auto
Blue Goji LLC,LLC,Austin,TX,78744,513210,2,true,low,auto
Bonterra LLC,LLC,Austin,TX,78759,541511,2,true,low,auto
Bonum Technologies LLC,LLC,Flower Mound,TX,75022,541512,2,true,low,auto
"BoosterHub, LLC",LLC,Georgetown,TX,78628,511210,2,true,low,auto
"Bridge Logix Solutions, LLC",LLC,Sugar Land,TX,77478,541511,2,true,low,auto
"Broadleaf Commerce, LLC.",LLC,Plano,TX,75024,541511,2,true,low,auto
C4Workx LLC,LLC,Richmond,TX,77406,541511,2,true,low,auto
CLOUD IMPERIUM GAMES TEXAS LLC,LLC,BEE CAVE,TX,78738,511210,2,true,low,auto
CLOUD RESOURCES LLC,LLC,IRVING,TX,75062,541512,2,true,low,auto
CPS Technology Solutions LLC,LLC,Frisco,TX,75035,541511,2,true,low,auto
CRAFTANY IT SOLUTIONS LLC,LLC,DALLAS,TX,75243,54151,2,true,low,auto
Capitalogix LLC,LLC,Coppell,TX,75019,541511,2,true,low,auto
Caton Analytics LLC,LLC,Austin,TX,78759,518210,2,true,low,auto
"Cerebre, LLC",LLC,Dallas,TX,78664,541511,2,true,low,auto
Client Connect LLC,LLC,Plano,TX,75093,511210,2,true,low,auto
"CoachAlgo, LLC",LLC,Sugar Land,TX,77478,513210,2,true,low,auto
"Cocolevio, LLC",LLC,Austin,TX,78702,5415,2,true,low,auto
Code Insights LLC.,LLC,Frisco,TX,75035,541511,2,true,low,auto
"Computer Visionaries, LLC",LLC,Dallas,TX,75244,541511,2,true,low,auto
"Conduent Credit Balance Solutions, LLC",LLC,Richardson,TX,75080,541512,2,true,low,auto
"Conduent Heritage, LLC",LLC,Richardson,TX,75080,541512,2,true,low,auto
"Corva AI, LLC",LLC,Houston,TX,77043,541519,2,true,low,auto
Cyberbridge LLC,LLC,Katy,TX,77493,541512,2,true,low,auto
CyrusOne LLC,LLC,Dallas,TX,75201,518210,2,true,low,auto
DIGITAL TWINS TECHNOLOGIES LLC,LLC,DUNCANVILLE,TX,75116,541511,2,true,low,auto
DSP Zusters LLC,LLC,Aubrey,TX,76227,541511,2,true,low,auto
Digineox LLC,LLC,Houston,TX,77056,541512,2,true,low,auto
ELFA Ventures LLC,LLC,Irving,TX,75062,541512,2,true,low,auto
ENQBATOR LLC,LLC,Austin,TX,78750,541512,2,true,low,auto
EXTERPRISE LLC,LLC,Mckinney,TX,75070,541519,2,true,low,auto
Enpowertek LLC,LLC,Frisco,TX,75034,541511,2,true,low,auto
FORMULA HUB LLC,LLC,Farmers Branch,TX,75234,541511,2,true,low,auto
FORTUNE INSIGHTS LLC.,LLC,SOUTHLAKE,TX,76092,541512,2,true,low,auto
FRISCO TECHSOL LLC,LLC,Frisco,TX,75034,541511,2,true,low,auto
"Fame Computers, LLC",LLC,Plano,TX,75023,541512,2,true,low,auto
Flight Operations Holdings LLC,LLC,Southlake,TX,76092,541511,2,true,low,auto
"Folio Software, LLC",LLC,Dallas,TX,75204,541511,2,true,low,auto
Frisco Tech Sol LLC,LLC,Frisco,TX,75034,541511,2,true,low,auto
"Geek Genix, LLC",LLC,Waco,TX,76710,541519,2,true,low,auto
Global Infrastructure Services LLC,LLC,Prosper,TX,75078,541511,2,true,low,auto
Global Paradigm LLC,LLC,DALLAS,TX,75240,541511,2,true,low,auto
GlobalStep Client Services LLC,LLC,Dallas,TX,75225,541511,2,true,low,auto
Growth AXL LLC,LLC,Sugar Land,TX,77479,541519,2,true,low,auto
GrowthAXL Shared Services LLC,LLC,Houston,TX,77060,541519,2,true,low,auto
"Hahn Stats, LLC",LLC,Austin,TX,78745,518210,2,true,low,auto
Honeydew Design LLC,LLC,Allen,TX,75013,541511,2,true,low,auto
Hotel RevUp LLC,LLC,Irving,TX,75062,518210,2,true,low,auto
"Hynes & Khater, LLC",LLC,Houston,TX,77056,541511,2,true,low,auto
INTELLECT CLOUD TECHNOLOGIES LLC,LLC,Allen,TX,75013,541511,2,true,low,auto
IPSEC SYSTEMS LLC,LLC,Plano,TX,75074,541519,2,true,low,auto
IT MICROSTACK LLC,LLC,Frisco,TX,75036,541511,2,true,low,auto
IT PRO HUB USA LLC.,LLC,FARMERS BRANCH,TX,75234,541511,2,true,low,auto
Ingenious IT Systems LLC,LLC,Richmond,TX,77407,541511,2,true,low,auto
Janus Automation LLC,LLC,The Woodlands,TX,77380,541511,2,true,low,auto
Jointly LLC,LLC,Austin,TX,78745,511210,2,true,low,auto
Kibernum USA LLC,LLC,Plano,TX,75024,511210,2,true,low,auto
"LaborEdge, LLC",LLC,Plano,TX,75024,511210,2,true,low,auto
Last Mile Venture LLC,LLC,Plano,TX,75093,54151,2,true,low,auto
LearnSAP LLC,LLC,Pearland,TX,77581,541511,2,true,low,auto
"Lexipol, LLC",LLC,Frisco,TX,75034,519130,2,true,low,auto
"Lively Video, LLC",LLC,Austin,TX,78722,541511,2,true,low,auto
Logicexcell LLC,LLC,Frisco,TX,75033,541513,2,true,low,auto
Loop1 LLC,LLC,Cedar park,TX,78613,541511,2,true,low,auto
Lotic AI LLC,LLC,Bee Cave,TX,78738,541511,2,true,low,auto
"Luminary Creative and Marketing, LLC",LLC,Dallas,TX,75247,541511,2,true,low,auto
Luna Squares Texas LLC,LLC,Pecos,TX,79772,518210,2,true,low,auto
METAVERSE TECHNOLOGY GROUP LLC,LLC,DUNCANVILLE,TX,75116,541511,2,true,low,auto
MNM Innovations LLC,LLC,Fulshear,TX,77441,541511,2,true,low,auto
MYK PROVIDERSLLC,LLC,DALLAS,TX,75220,541511,2,true,low,auto
Matrix Software Technology LLC,LLC,Houston,TX,77025,541511,2,true,low,auto
"Medical Technology Solutions, LLC",LLC,Valencia,TX,91355,518210,2,true,low,auto
Method Analytics LLC,LLC,Trinidad,TX,75163,541519,2,true,low,auto
"MiView Integrated Solutions, LLC",LLC,Carrollton,TX,75007,513210,2,true,low,auto
"Mshana Group, LLC",LLC,Sugar Land,TX,77479,541512,2,true,low,auto
NEURABOX AI LLC,LLC,DALLAS,TX,75231,541511,2,true,low,auto
NEXTGEN INNOVATION LABS LLC,LLC,Frisco,TX,75034,541511,2,true,low,auto
"Navesink Mortgage Services, LLC",LLC,Addison,TX,75001,54151,2,true,low,auto
Neolution LLC,LLC,Irving,TX,75038,54151,2,true,low,auto
Nlinq Solutions LLC,LLC,Houston,TX,77060,541519,2,true,low,auto
"North Polaris, LLC.",LLC,Houston,TX,77036,541511,2,true,low,auto
"Nusoft Systems, LLC",LLC,Sugar Land,TX,77479,541511,2,true,low,auto
Octagos Acquisition LLC,LLC,Houston,TX,77070,511210,2,true,low,auto
Octed LLC,LLC,Coppell,TX,75019,541511,2,true,low,auto
Oortech LLC,LLC,Austin,TX,78705,51821,2,true,low,auto
"Optimal Blue, LLC",LLC,Plano,TX,75024,541511,2,true,low,auto
"Optimus Labs USA, LLC",LLC,Dallas,TX,75234,541511,2,true,low,auto
PROTAGONA LLC,LLC,PLANO,TX,75074,541511,2,true,low,auto
"Palm Delivery Innovations QOZB, LLC",LLC,Austin,TX,78702,513210,2,true,low,auto
Paramount Technologies LLC,LLC,Irving,TX,75063,541519,2,true,low,auto
Paranet Solutions LLC,LLC,Dallas,TX,75248,541512,2,true,low,auto
"Payteros, LLC",LLC,Houston,TX,77070,541511,2,true,low,auto
Potel Projects LLC,LLC,Frisco,TX,75035,541512,2,true,low,auto
ProjecTools Solutions LLC,LLC,Houston,TX,77043,541512,2,true,low,auto
QADWORKS SOLUTIONS LLC.,LLC,Houston,TX,77096,541519,2,true,low,auto
Qualesce LLC,LLC,Frisco,TX,75034,541512,2,true,low,auto
REVENTION LLC,LLC,HOUSTON,TX,77043,541512,2,true,low,auto
RPD Systems LLC,LLC,Austin,TX,78750,54151,2,true,low,auto
"Rand Group Solutions, LLC",LLC,Bellaire,TX,77401,541511,2,true,low,auto
Rayala Cloud Solutions LLC,LLC,Frisco,TX,75035,541511,2,true,low,auto
Reach Partners LLC,LLC,Austin,TX,78701,54151,2,true,low,auto
RepeatMD Operating LLC,LLC,Houston,TX,77056,518210,2,true,low,auto
SANDBOX TECHNOLOGIES LLC,LLC,DUNCANVILLE,TX,75116,541511,2,true,low,auto
"SAPPHIRE INFORMATICS, LLC.",LLC,AUSTIN,TX,78752,541511,2,true,low,auto
"SCMO2, LLC",LLC,Plano,TX,75093,541512,2,true,low,auto
SCN Corp LLC,LLC,Irving,TX,75063,541511,2,true,low,auto
SHARANGASOLUTIONS LLC,LLC,FLOWER MOUND,TX,75022,541511,2,true,low,auto
"SIGGA USA, LLC",LLC,Sugar Land,TX,77478,541512,2,true,low,auto
SIGNACORP LLC,LLC,Mckineey,TX,75070,541511,2,true,low,auto
SKIONTEK LLC,LLC,IRVING,TX,75062,541511,2,true,low,auto
SOFTSYS TECHNOLOGIES LLC,LLC,LANTANA,TX,76226,541512,2,true,low,auto
SOLVATION LLC,LLC,PLANO,TX,75025,541512,2,true,low,auto
"SRP TH Services, LLC",LLC,Dallas,TX,75219,541511,2,true,low,auto
SYMBIOAITECH LLC,LLC,Farmers Branch,TX,75234,541511,2,true,low,auto
Saantekglobal LLC,LLC,ALLEN,TX,75013,541511,2,true,low,auto
Salesdrive Technologies LLC,LLC,Flower mound,TX,75028,541511,2,true,low,auto
Sathya Sai Services LLC,LLC,Austin,TX,78731,541511,2,true,low,auto
"Shaw Systems Associates, LLC",LLC,Houston,TX,77042,5415,2,true,low,auto
ShellSquare LLC,LLC,AUSTIN,TX,78701,541511,2,true,low,auto
Slick Integrations LLC,LLC,Austin,TX,78731,541512,2,true,low,auto
SoftTelRG LLC,LLC,McKinney,TX,75070,541511,2,true,low,auto
Softvel LLC,LLC,Austin,TX,78738,541511,2,true,low,auto
Solidrock Solutions LLC,LLC,Flower Mound,TX,75028,541511,2,true,low,auto
Solvo Tech Solutions LLC,LLC,Dallas,TX,75243,541511,2,true,low,auto
Sri Tech International LLC,LLC,AUSTIN,TX,78717,541512,2,true,low,auto
"Sultanete, LLC",LLC,Irving,TX,75062,541511,2,true,low,auto
SwiftAnt LLC,LLC,MCKINNEY,TX,75070,541511,2,true,low,auto
TECHAVIDITY BUSINESS SOLUTIONS LLC,LLC,Frisco,TX,75034,54151,2,true,low,auto
"TEKENERGY, LLC.",LLC,IRVING,TX,75063,541511,2,true,low,auto
TEKLEADS LLC,LLC,MCKINNEY,TX,75070,541511,2,true,low,auto
TEKTRON LLC.,LLC,PLANO,TX,75074,541511,2,true,low,auto
TOYAJA IT SOLUTIONS LLC.,LLC,GEORGETOWN,TX,78628,541519,2,true,low,auto
TRAXCEL LLC,LLC,HOUSTON,TX,77084,541512,2,true,low,auto
TRICON TECH SERVICES LLC,LLC,LEWISVILLE,TX,75056,541511,2,true,low,auto
Tech Quotient LLC,LLC,Liberty Hill,TX,78642,541511,2,true,low,auto
TekDeft LLC,LLC,Plano,TX,75023,541511,2,true,low,auto
TekRubix LLC,LLC,Irving,TX,75039,541511,2,true,low,auto
Texas VU LLC,LLC,Frisco,TX,75034,541519,2,true,low,auto
"TexasFile, LLC",LLC,Corpus Christi,TX,78401,518210,2,true,low,auto
The Quantamental Investment Group LLC,LLC,Fulshear,TX,77441,519130,2,true,low,auto
The Social Plus LLC,LLC,Frisco,TX,75034,541511,2,true,low,auto
"ThoughtSpark US, LLC",LLC,Houston,TX,77060,541511,2,true,low,auto
"Triarc Solutions, LLC",LLC,Houston,TX,77002,54151,2,true,low,auto
Tysonite Partners LLC,LLC,Missouri City,TX,77459,541511,2,true,low,auto
ULTIMATE SOFT LLC,LLC,Mckinney,TX,75070,541511,2,true,low,auto
UPSHOP LLC,LLC,AUSTIN,TX,78757,541511,2,true,low,auto
UX is Fine LLC,LLC,Austin,TX,78759,541511,2,true,low,auto
VALUE CREED LLC,LLC,Plano,TX,75074,54151,2,true,low,auto
VCLOUD TECHNOLOGY GROUP LLC,LLC,DUNCANVILLE,TX,75116-4605,541511,2,true,low,auto
"VIJAYA, LLC",LLC,WYLIE,TX,75098,541511,2,true,low,auto
VKAAS LLC,LLC,FRISCO,TX,75033,541511,2,true,low,auto
VSHARP LLC,LLC,Addison,TX,75001,541511,2,true,low,auto
Veeratech LLC,LLC,Houston,TX,77070,541511,2,true,low,auto
"Verge Ventures, LLC",LLC,Richardson,TX,75082,511210,2,true,low,auto
"Vroom Automotive, LLC",LLC,Stafford,TX,77477,541511,2,true,low,auto
WISENMORE LLC,LLC,Fulshear,TX,77441,541511,2,true,low,auto
Waypoint Data Solutions LLC,LLC,Spring,TX,77386,541511,2,true,low,auto
"Winner, LLC",LLC,Fort Worth,TX,76177,518210,2,true,low,auto
"Wolfepak Software, LLC",LLC,Abilene,TX,79602,511210,2,true,low,auto
Xenonsofttech LLC.,LLC,Liberty Hill,TX,78642,541511,2,true,low,auto
YOCE LLC,LLC,Fort Worth,TX,76110,541511,2,true,low,auto
"iQGateway, LLC",LLC,The Woodlands,TX,77380,54151,2,true,low,auto
mlivelihood LLC,LLC,Houston,TX,77003,513210,2,true,low,auto
"pixelByte, LLC",LLC,EL PASO,TX,79912,541511,2,true,low,auto
A-DYNASTY LLC,LLC,Irving,TX,75062,541519,3,true,low,auto
AMPLE GLOBAL SOLUTIONS LLC,LLC,Farmers Branch,TX,75234,541511,3,true,low,auto
AR INFOTEK SOLUTIONS LLC,LLC,Georgetown,TX,78626,541511,3,true,low,auto
AUTHENTIC DATA SOLUTIONS LLC,LLC,ROUND ROCK,TX,78664,541511,3,true,low,needs_review
"Allata, LLC",LLC,Dallas,TX,75207,541511,3,true,low,auto
Alpha Solutions USA LLC,LLC,Addison,TX,75001,541512,3,true,low,auto
Amnet Tech LLC,LLC,Leander,TX,78641,541511,3,true,low,auto
"Aqore, LLC",LLC,Grapevine,TX,75061,541511,3,true,low,auto
"Argo Design, LLC",LLC,Austin,TX,78704,541512,3,true,low,auto
Ashtech Intelligent LLC,LLC,Richardson,TX,75080,541513,3,true,low,auto
Asset Panda LLC,LLC,Frisco,TX,75034,541511,3,true,low,auto
Atlas Technology Group LLC,LLC,Austin,TX,78701,518210,3,true,low,auto
Avmtechies LLC,LLC,Frisco,TX,75034,541511,3,true,low,auto
Bottle Rocket LLC,LLC,Addison,TX,75254,541511,3,true,low,auto
CITRINE SOLUTION LLC,LLC,IRVING,TX,75038,541513,3,true,low,auto
COGNITUM SOLUTIONS LLC,LLC,Austin,TX,78731,541511,3,true,low,auto
CONNECTEK SOLUTIONS LLC,LLC,Farmers Branch,TX,75234,541511,3,true,low,auto
CY9 LLC,LLC,"Flower Mound,",TX,75022,541511,3,true,low,auto
"Cloud EPA, LLC",LLC,Euless,TX,76040,541511,3,true,low,auto
Cloudiyan LLC,LLC,Frisco,TX,75034,541511,3,true,low,auto
Crocus IT LLC,LLC,Frisco,TX,75036,541511,3,true,low,auto
Cyber Nirvana LLC,LLC,Irving,TX,75038,541511,3,true,low,auto
Cytracom LLC,LLC,Allen,TX,75013,541511,3,true,low,auto
Dabble Sports LLC,LLC,Austin,TX,78701,513210,3,true,low,auto
Digital 360 LLC,LLC,Arlington,TX,76010,541511,3,true,low,auto
"Digital Systems X, LLC",LLC,The Woodlands,TX,77381,541512,3,true,low,auto
DuraPeople LLC,LLC,San Antonio,TX,78205,513210,3,true,low,auto
EASYSTEPIN LLC,LLC,Katy,TX,77494,541511,3,true,low,auto
Enboarder LLC,LLC,Austin,TX,78702,511210,3,true,low,auto
First Infra LLC,LLC,The Colony,TX,75056,541511,3,true,low,auto
"GDS Link, LLC",LLC,Dallas,TX,75206,541511,3,true,low,auto
"GeoComputing Group, LLC",LLC,Houston,TX,77079,518210,3,true,low,auto
Givewith LLC,LLC,Austin,TX,78701,541519,3,true,low,auto
Global Smart Work LLC,LLC,McKinney,TX,75070,541511,3,true,low,auto
Hashtag Techie LLC,LLC,Dallas,TX,75243,541511,3,true,low,auto
"Hiecept, LLC",LLC,Houston,TX,77077,541511,3,true,low,auto
IBUILDSOFT LLC,LLC,Plano,TX,75074,518210,3,true,low,auto
IPLUS GLOBAL USA LLC,LLC,Irving,TX,75063,541511,3,true,low,auto
Idealagi LLC,LLC,The Woodlands,TX,77380,541511,3,true,low,auto
Invasystems Digital LLC,LLC,Sugar Land,TX,77478,54151,3,true,low,auto
KEYWEB TECHNOLOGIES LLC,LLC,SHERIDAN,TX,82801,541511,3,true,low,auto
KLOUDSLACK LLC,LLC,Irving,TX,75062,541511,3,true,low,auto
KNR Paradise Holdings LLC,LLC,McKinney,TX,75071,541512,3,true,low,auto
KNSERVICESLLC,LLC,Round Rock,TX,78665,541511,3,true,low,auto
Kloutix Solutions LLC,LLC,Irving,TX,75039,541519,3,true,low,auto
LorVen Techservices LLC,LLC,Frisco,TX,75034,541511,3,true,low,auto
"METAPRO USA, LLC",LLC,Grapevine,TX,76051,54151,3,true,low,auto
MK Universal LLC,LLC,Plano,TX,75024,541511,3,true,low,auto
Mash IT Solutions LLC,LLC,Austin,TX,78736,541511,3,true,low,auto
"Mountain State Software Solutions, LLC d.b.a ArganoMS3",LLC,Plano,TX,75093,541511,3,true,low,needs_review
Navsan LLC,LLC,Helotes,TX,78023,541511,3,true,low,auto
Netnology LLC,LLC,Plano,TX,75074,541519,3,true,low,auto
Nimmetrix LLC,LLC,Houston,TX,77084,541511,3,true,low,auto
"NinjaOne, LLC",LLC,Austin,TX,78701,511210,3,true,low,auto
North Star Identity LLC,LLC,Prosper,TX,75078,541512,3,true,low,auto
Nugen Tech LLC,LLC,Allen,TX,75013,541519,3,true,low,needs_review
OctagonIT LLC,LLC,Irving,TX,75062,541511,3,true,low,auto
"OpenSymmetry, LLC",LLC,Austin,TX,78746,541512,3,true,low,auto
PEREGRINE AI LLC,LLC,PLANO,TX,75024,541511,3,true,low,auto
PTechCrew LLC,LLC,Allen,TX,75013,541512,3,true,low,auto
"PakEnergy, LLC",LLC,Abilene,TX,79602,511210,3,true,low,auto
Panda Solutions USA LLC,LLC,Dallas,TX,75240,541519,3,true,low,auto
Perficient IT LLC,LLC,McKinney,TX,75071,541511,3,true,low,auto
"PioneerRX, LLC",LLC,Irving,TX,75039,541512,3,true,low,auto
Pranu Business Group LLC,LLC,Houston,TX,77079,541512,3,true,low,auto
ProArch Technologies LLC,LLC,Lakeway,TX,78734,541511,3,true,low,auto
R'cloud LLC,LLC,Pearland,TX,77584,541511,3,true,low,auto
REAL SOURCE IT SOLUTIONS LLC,LLC,FRISCO,TX,75035,541511,3,true,low,auto
ROBOTIC PROCESS AUTOMATION LLC,LLC,DUNCANVILLE,TX,75116-4931,541511,3,true,low,auto
Rex Team General LLC,LLC,Austin,TX,78731,541511,3,true,low,auto
SCUBE SOFT SOLUTIONS LLC,LLC,Flower Mound,TX,75022,541511,3,true,low,auto
SLK Systems LLC,LLC,Dallas,TX,75234,541511,3,true,low,auto
SMARTCOMMS LLC,LLC,DALLAS,TX,75252,541519,3,true,low,auto
Serverless Solutions LLC,LLC,Houston,TX,77024,54151,3,true,low,auto
SimpleCube LLC,LLC,San Antonio,TX,78230,541511,3,true,low,auto
"Sitemetric, LLC",LLC,Houston,TX,77027,541512,3,true,low,auto
SoftTrak Technologies LLC.,LLC,Dallas,TX,75019,541511,3,true,low,auto
"Solera Holdings, LLC",LLC,Westlake,TX,76262,541511,3,true,low,auto
Sutras LLC,LLC,KATY,TX,77494,541511,3,true,low,auto
TBX Employee Benefits LLC,LLC,Plano,TX,75024,541511,3,true,low,auto
TECH SYNERGIES LLC,LLC,Irving,TX,75039,541511,3,true,low,auto
TEKNOMITE LLC,LLC,MCKINNEY,TX,75070,541511,3,true,low,auto
TEKPRO IT LLC,LLC,Plano,TX,75023,541511,3,true,low,auto
TechFuturiq LLC,LLC,McKinney,TX,75071,541511,3,true,low,auto
TekPeersGlobal LLC,LLC,Austin,TX,78731,541511,3,true,low,auto
Tekdream LLC,LLC,Lewisville,TX,75067,541511,3,true,low,auto
Telafor LLC,LLC,Dallas,TX,75019,541511,3,true,low,auto
Texas Automation Systems LLC,LLC,Grand Prairie,TX,75050,541512,3,true,low,auto
"TraxID, LLC",LLC,Farmers Branch,TX,75234,541511,3,true,low,auto
Trinity Edge Solutions LLC,LLC,Irving,TX,75063,541511,3,true,low,auto
Turvo LLC,LLC,Dallas,TX,75205,541519,3,true,low,auto
UtilPros LLC,LLC,Plano,TX,75023,541511,3,true,low,auto
VERATECH SYSTEMS LLC.,LLC,CEDAR PARK,TX,78613,541511,3,true,low,auto
VIRTUAL AMERICAN COMPANIES LLC,LLC,RICHMOND,TX,77407,518210,3,true,low,auto
VUYH TECHNOLOGIES LLC,LLC,KATY,TX,77494,541511,3,true,low,auto
"WORK Technologies, LLC",LLC,San Antonio,TX,78232,518210,3,true,low,needs_review
Waltasoft Technologies LLC,LLC,Irving,TX,75038,541511,3,true,low,auto
"Watermark Insights, LLC",LLC,Austin,TX,78759,511210,3,true,low,auto
We Empower IT LLC,LLC,The Woodlands,TX,77382,541511,3,true,low,auto
Winstream IT LLC,LLC,Irving,TX,75063,541519,3,true,low,auto
XNOVAQ LLC,LLC,Frisco,TX,75035,541511,3,true,low,auto
ZOSH TECH LLC,LLC,Flower Mound,TX,75028,541511,3,true,low,auto
Zeal Capital Management LLC,LLC,Dallas,TX,75201,541511,3,true,low,auto
Zimat Investments LLC,LLC,Plano,TX,75024,541511,3,true,low,auto
wingu llc,LLC,Houston,TX,77041,541512,3,true,low,auto
A2visions LLC,LLC,Frisco,TX,75034,541511,4,true,low,auto
APIC SOLUTIONS LLC,LLC,AUSTIN,TX,78731,541511,4,true,low,auto
Accruent LLC,LLC,Austin,TX,78758,511210,4,true,low,auto
Assuratech LLC,LLC,Richardson,TX,75082,541511,4,true,low,auto
AveriSource LLC,LLC,Dallas,TX,75225,541512,4,true,low,auto
BIOREV LLC,LLC,IRVING,TX,75039,541511,4,true,low,auto
BLUESPARK LLC,LLC,IRVING,TX,75038,541511,4,true,low,auto
"BPM Geeks, LLC",LLC,Houston,TX,77077,541511,4,true,low,needs_review
BROADX IT SOLUTIONS LLC,LLC,Irving,TX,75019,541511,4,true,low,auto
CLOUD CONNECT SYSTEMS LLC,LLC,FRISCO,TX,75035,541511,4,true,low,auto
COSMOFETCH LLC,LLC,COPPELL,TX,75019,541511,4,true,low,auto
Cambay Solutions LLC,LLC,Katy,TX,77449,54151,4,true,low,auto
"Centrix Group, LLC",LLC,Austin,TX,78744,54151,4,true,low,auto
Cloud Technosoft LLC,LLC,Dallas,TX,75208,541511,4,true,low,auto
Cloudaspirers LLC,LLC,IRVING,TX,75062,541511,4,true,low,auto
Converge Info Systems LLC,LLC,Plano,TX,75074,541511,4,true,low,auto
"DBD Ventures, LLC",LLC,Austin,TX,78701,541511,4,true,low,auto
"DYOPATH, LLC",LLC,HOUSTON,TX,77040,541519,4,true,low,auto
Datamind Analytics LLC,LLC,Frisco,TX,75035,541511,4,true,low,auto
Datapower LLC,LLC,Frisco,TX,75035,541512,4,true,low,auto
EverExpanse LLC,LLC,Round Rock,TX,78664,541519,4,true,low,auto
Flutura Business Solutions LLC,LLC,Houston,TX,77057,541511,4,true,low,auto
FullStack Labs LLC,LLC,San Antonio,TX,78258,541511,4,true,low,auto
GalacticIT LLC,LLC,Dallas,TX,75019,541511,4,true,low,auto
Global Star IT Serve LLC,LLC,Plano,TX,75024,541511,4,true,low,auto
Google LLC,LLC,California,TX,94043,541512,4,true,low,auto
Hyphen Solutions LLC,LLC,Dallas,TX,75234,541512,4,true,low,auto
INTEGRATEUS LLC.,LLC,AUSTIN,TX,78701,541511,4,true,low,auto
Impact QA Services LLC,LLC,Dallas,TX,75201,541511,4,true,low,auto
